,Close,High,Low,Open,Volume,Dividends,Stock Splits
2021-04-22,323.31,324.97,321.76,323.97,728000,0.0,0.0
2021-04-23,322.0,323.66,320.19,322.87,1012900,0.0,0.0
2021-04-26,318.01,322.9,316.84,322.01,892500,0.0,0.0
2021-04-27,319.96,320.9,316.34,317.63,738200,0.0,0.0
2021-04-28,318.55,320.34,316.85,320.34,763600,0.0,0.0
2021-04-29,331.59,333.42,321.6,321.97,1320900,0.0,0.0
2021-04-30,333.68,335.97,331.6,333.1,1275200,0.0,0.0
2021-05-03,339.85,341.58,331.42,331.42,1041700,0.0,0.0
2021-05-04,346.56,346.92,340.32,341.4,1128600,0.0,0.0
2021-05-05,351.14,351.38,345.0,346.88,1455900,0.0,0.0
2021-05-06,348.37,353.91,346.72,352.1,1072700,0.0,0.0
2021-05-07,348.92,350.88,344.8,347.55,959600,0.0,0.0
2021-05-10,351.9,356.43,351.43,351.43,714800,0.0,0.0
2021-05-11,346.73,352.17,344.54,350.24,954500,0.0,0.0
2021-05-12,341.88,349.81,341.85,347.03,999600,0.0,0.0
2021-05-13,348.38,350.92,341.3,341.58,757000,0.0,0.0
2021-05-14,349.84,351.06,348.48,349.27,757100,0.0,0.0
2021-05-17,351.03,352.73,349.61,350.68,648900,0.0,0.0
2021-05-18,347.03,351.82,346.93,350.09,735900,0.0,0.0
2021-05-19,349.17,349.27,342.23,346.71,685300,0.0,0.0
2021-05-20,350.17,352.37,349.37,349.43,786800,0.0,0.0
2021-05-21,348.76,354.93,347.61,350.72,682500,0.0,0.0
2021-05-24,350.38,352.06,346.97,350.87,570600,0.0,0.0
2021-05-25,348.32,352.45,347.69,350.71,680300,0.0,0.0
2021-05-26,345.24,348.65,343.99,347.69,697100,0.0,0.0
2021-05-27,348.76,349.49,344.58,348.6,997200,0.0,0.0
2021-05-28,345.9,350.24,345.53,349.12,575700,1.57,0.0
2021-06-01,345.67,349.86,345.3,349.07,764200,0.0,0.0
2021-06-02,347.17,349.51,344.83,345.67,495800,0.0,0.0
2021-06-03,346.51,347.33,344.6,346.98,779400,0.0,0.0
2021-06-04,356.91,358.35,352.6,353.43,1319300,0.0,0.0
